Order ID,Customer ID,Customer Segment,Order Priority,Product Category,Product Sub-Category,State or Province,Region,City,Order Date,Unit Price,Quantity ordered new,Profit,Sales
88580,1928,Home Office,Not Specified,Office Supplies,Binders and Binder Accessories,South Carolina,South,Greer,2015-01-21,1889.99,1,-42.546,1786.04
89166,314,Corporate,Medium,Office Supplies,"Scissors, Rulers and Trimmers",Illinois,Central,Forest Park,2015-03-20,1637.53,2,-1759.58,3206.94
89084,950,Consumer,Low,Technology,Office Machines,Minnesota,Central,Prior Lake,2015-03-22,1500.97,1,-2561.3235,1497.22
6562,491,Consumer,Critical,Technology,Office Machines,New York,East,New York City,2015-06-20,1360.14,22,2028.12,31670.6
87033,2522,Home Office,Medium,Technology,Office Machines,Vermont,East,Burlington,2015-06-05,1360.14,6,2639.01,7303.05
88908,494,Consumer,Critical,Technology,Office Machines,Washington,West,Seattle,2015-06-20,1360.14,6,3042.18,8637.44
3841,1733,Small Business,Not Specified,Office Supplies,Binders and Binder Accessories,District of Columbia,East,Washington,2015-04-04,1270.99,36,9228.2256,45737.33
87535,3397,Small Business,Low,Office Supplies,Binders and Binder Accessories,Illinois,Central,Danville,2015-06-07,1270.99,7,6384.4389,9252.81
88443,1734,Small Business,Not Specified,Office Supplies,Binders and Binder Accessories,New York,East,Harrison,2015-04-04,1270.99,9,7889.6877,11434.33
91127,524,Consumer,Not Specified,Office Supplies,Binders and Binder Accessories,Tennessee,South,Farragut,2015-01-20,1270.99,2,363.552,2589.01
87700,421,Small Business,Critical,Technology,Office Machines,New Jersey,East,Elizabeth,2015-02-06,999.99,1,-2531.4825,919.09
91123,2391,Corporate,Not Specified,Technology,Office Machines,New York,East,Oceanside,2015-06-04,999.99,1,-1455.9972,1009.99
85826,2868,Corporate,High,Office Supplies,Binders and Binder Accessories,Washington,West,Edmonds,2015-01-08,896.99,6,3602.1312,5220.48
87366,84,Corporate,High,Office Supplies,Binders and Binder Accessories,Ohio,East,Cincinnati,2015-03-30,896.99,13,7402.32,10728
86925,2896,Home Office,Low,Furniture,Bookcases,Minnesota,Central,Mankato,2015-01-22,880.98,8,4861.0638,7045.02
87853,1793,Home Office,Critical,Furniture,Bookcases,Illinois,Central,Galesburg,2015-01-06,880.98,8,-13706.464,6968.9
91576,651,Consumer,Low,Furniture,Bookcases,Nevada,West,Las Vegas,2015-02-15,880.98,8,4233.2588,6901.25
87162,2781,Consumer,Low,Technology,Office Machines,Oregon,West,Woodburn,2015-01-31,808.49,11,7576.11,8201.33
32037,1129,Home Office,Low,Technology,Copiers and Fax,Massachusetts,East,Boston,2015-02-16,699.99,15,325.29,9862.51
87033,2507,Home Office,Medium,Technology,Copiers and Fax,Maine,East,Bangor,2015-06-05,699.99,15,7024.2069,10180.01
87993,1606,Home Office,Medium,Technology,Copiers and Fax,New York,East,Franklin Square,2015-01-07,699.99,1,-2870.2776,706.56
88102,1132,Home Office,Low,Technology,Copiers and Fax,Texas,Central,Euless,2015-02-16,699.99,4,325.29,2630
90354,483,Corporate,Not Specified,Technology,Copiers and Fax,Illinois,Central,Oswego,2015-04-23,699.99,9,2583.56148,5976.09
86753,2418,Consumer,High,Technology,Copiers and Fax,Virginia,South,Petersburg,2015-01-10,599.99,11,-343.126,6355.69
88348,2089,Corporate,Low,Technology,Copiers and Fax,New York,East,New City,2015-06-30,599.99,22,8798.1831,12750.99
88487,1548,Corporate,Low,Technology,Copiers and Fax,Indiana,Central,Richmond,2015-06-23,599.99,18,-367.165,11015.82
87463,169,Corporate,Low,Technology,Office Machines,Louisiana,South,Baton Rouge,2015-01-03,574.74,12,-112.4263,6945.16
91229,2775,Consumer,Low,Technology,Office Machines,Illinois,Central,Franklin Park,2015-01-30,574.74,8,2860.9332,4146.28
88372,1009,Corporate,High,Furniture,Tables,Maine,East,Saco,2015-06-19,550.98,14,818.546175,6963.67
87570,2141,Home Office,High,Technology,Copiers and Fax,Colorado,West,Durango,2015-02-18,549.99,18,-381.8412,9798.84
90910,550,Corporate,Medium,Technology,Copiers and Fax,Texas,Central,Seguin,2015-06-12,549.99,13,4637.4072,6720.88
59365,2920,Home Office,Medium,Technology,Office Machines,Illinois,Central,Chicago,2015-06-07,535.64,2,-1220.9145,1068.6
87378,1885,Home Office,Not Specified,Technology,Office Machines,Rhode Island,East,Barrington,2015-03-01,535.64,15,4407.44,7029.1
86813,1528,Small Business,Critical,Office Supplies,Binders and Binder Accessories,North Carolina,South,Eden,2015-01-09,525.98,9,-161.924,4920.81
88632,1020,Small Business,Critical,Technology,Office Machines,Kansas,Central,Pittsburg,2015-03-07,517.48,5,909.36,2354.54
89657,2583,Home Office,Medium,Technology,Office Machines,Michigan,Central,Holland,2015-06-07,510.14,3,-251.4039,1527.97
50656,2571,Consumer,Critical,Furniture,Chairs & Chairmats,New York,East,New York City,2015-04-25,500.98,56,4260.112,29718.53
86227,2803,Small Business,Medium,Technology,Office Machines,California,West,East Los Angeles,2015-02-05,500.98,10,2699.9838,3913.02
87811,693,Small Business,Low,Furniture,Bookcases,Colorado,West,Thornton,2015-03-25,500.98,7,2568.4629,3722.41
90193,5,Home Office,Not Specified,Furniture,Chairs & Chairmats,California,West,San Gabriel,2015-06-13,500.98,12,4390.3665,6362.85
90327,2570,Consumer,Critical,Furniture,Chairs & Chairmats,California,West,Davis,2015-04-25,500.98,14,4899.1288,7429.63
90796,1595,Corporate,High,Furniture,Chairs & Chairmats,West Virginia,East,Huntington,2015-05-11,500.98,14,5078.538,7360.2
88447,3063,Consumer,Medium,Technology,Copiers and Fax,Washington,West,Kirkland,2015-02-26,499.99,5,1773.6105,2570.45
86234,3275,Small Business,Low,Technology,Copiers and Fax,Washington,West,Mount Vernon,2015-01-01,449.99,12,3576.8841,5183.89
86621,236,Corporate,Not Specified,Technology,Office Machines,Colorado,West,Louisville,2015-02-22,442.14,10,3294.8259,4775.11
87187,2973,Home Office,Critical,Technology,Office Machines,Wisconsin,Central,New Berlin,2015-05-20,442.14,6,137.68794,2411.43
90115,1279,Corporate,Not Specified,Technology,Office Machines,Indiana,Central,Hammond,2015-03-05,442.14,5,501.51,2343.34
90385,2157,Home Office,Low,Technology,Office Machines,Michigan,Central,Warren,2015-03-16,442.14,14,2963.48,5880.46
88219,2046,Corporate,Critical,Furniture,Tables,Kansas,Central,Liberal,2015-06-12,424.21,17,682.53,7304.03
90415,1949,Small Business,Low,Furniture,Tables,Montana,West,Bozeman,2015-02-01,424.21,12,-213.4028,4935.22
87077,1471,Home Office,High,Office Supplies,Binders and Binder Accessories,Ohio,East,Westerville,2015-03-21,420.98,10,3043.0311,4410.19
87146,2062,Corporate,Medium,Office Supplies,Binders and Binder Accessories,Virginia,South,Mechanicsville,2015-01-29,420.98,10,-162.694,4249.37
23042,2491,Home Office,Medium,Office Supplies,Storage & Organization,California,West,Los Angeles,2015-04-26,419.19,20,1947.67,8048.45
86885,2489,Home Office,Medium,Office Supplies,Storage & Organization,California,West,Concord,2015-04-26,419.19,5,1388.3559,2012.11
87772,2593,Corporate,Low,Office Supplies,Storage & Organization,Georgia,South,Athens,2015-04-17,419.19,10,-39.606,4354.55
90469,627,Corporate,Medium,Office Supplies,Storage & Organization,Ohio,East,Steubenville,2015-04-21,419.19,22,6610.2,9580
86308,596,Consumer,Critical,Furniture,Tables,Indiana,Central,Carmel,2015-02-15,417.4,12,-575.352,4910.72
90538,1416,Small Business,Critical,Furniture,Tables,Indiana,Central,Indianapolis,2015-05-06,417.4,1,-634.8654,471.21
86556,573,Corporate,High,Office Supplies,Storage & Organization,Illinois,Central,Pekin,2015-02-26,415.88,1,-269.0844,405.57
88929,381,Corporate,Not Specified,Office Supplies,Storage & Organization,Illinois,Central,Bloomington,2015-05-01,415.88,1,-539.59,394.51
86629,2094,Corporate,Medium,Furniture,Tables,California,West,Chico,2015-02-05,400.98,20,3031.9724,7840.04
89433,994,Small Business,High,Furniture,Tables,Maine,East,Sanford,2015-03-14,400.98,2,-969.048366,810.47
85939,1186,Consumer,Critical,Technology,Office Machines,California,West,Huntington Beach,2015-04-09,400.97,10,2581.5591,3741.39
87962,2258,Corporate,Low,Technology,Office Machines,North Carolina,South,Rocky Mount,2015-03-09,400.97,8,45.1278,2961.32
39015,2107,Corporate,Medium,Technology,Office Machines,Illinois,Central,Chicago,2015-06-06,399.98,24,567.59,9666.72
86052,2203,Home Office,Critical,Technology,Office Machines,Minnesota,Central,Brooklyn Park,2015-01-04,399.98,2,-663.5142,807
89426,166,Consumer,Low,Technology,Office Machines,Tennessee,South,Lebanon,2015-01-11,399.98,5,28.5141,1839.91
90880,1241,Corporate,Not Specified,Office Supplies,Binders and Binder Accessories,Alabama,South,Auburn,2015-03-16,387.99,23,-70.14,9280.72
88219,2046,Corporate,Critical,Furniture,Tables,Kansas,Central,Liberal,2015-06-12,376.13,13,-435.7575,4634.69
89284,635,Corporate,High,Office Supplies,Storage & Organization,Minnesota,Central,Saint Paul,2015-04-05,370.98,6,-124.2864,2309.49
88890,679,Corporate,Medium,Office Supplies,Binders and Binder Accessories,Washington,West,Spanaway,2015-03-04,367.99,17,4568.6073,6621.17
21958,2882,Consumer,High,Office Supplies,Appliances,North Carolina,South,Charlotte,2015-06-05,363.25,21,732.2698,7497.05
86086,2968,Small Business,High,Office Supplies,Appliances,Florida,South,Hollywood,2015-03-28,363.25,1,36.1641,344.87
86573,1142,Home Office,Medium,Office Supplies,Appliances,Texas,Central,Waco,2015-01-04,363.25,7,1766.7795,2560.55
87633,2884,Consumer,High,Office Supplies,Appliances,Ohio,East,North Ridgeville,2015-06-05,363.25,5,1231.6569,1785.01
90752,3283,Corporate,Critical,Office Supplies,Appliances,Florida,South,Kendall,2015-04-21,363.25,5,-269.7555,1867.04
16547,2498,Corporate,Not Specified,Furniture,Chairs & Chairmats,California,West,San Diego,2015-02-18,355.98,30,1240.25,10554.63
87583,1197,Small Business,High,Furniture,Chairs & Chairmats,Massachusetts,East,Sudbury,2015-03-18,355.98,4,103.83,1350.94
88319,2499,Corporate,Not Specified,Furniture,Chairs & Chairmats,Illinois,Central,Kankakee,2015-02-18,355.98,8,1240.25,2814.57
90000,1989,Home Office,Not Specified,Furniture,Chairs & Chairmats,Utah,West,Holladay,2015-01-21,355.98,8,882.93,2748.21
91376,3067,Consumer,Not Specified,Furniture,Chairs & Chairmats,Ohio,East,Austintown,2015-03-02,355.98,14,1660.92,5086.08
89448,1424,Home Office,Low,Furniture,Chairs & Chairmats,Colorado,West,Englewood,2015-01-12,350.99,3,451.2804,1020.08
89787,1178,Consumer,High,Furniture,Chairs & Chairmats,Florida,South,Altamonte Springs,2015-04-09,350.99,10,-302.6156,3506.78
91550,1972,Corporate,Medium,Furniture,Chairs & Chairmats,Pennsylvania,East,Willow Grove,2015-01-18,350.99,6,1469.7276,2130.04
86356,915,Home Office,High,Furniture,Chairs & Chairmats,Texas,Central,Bryan,2015-01-04,350.98,1,-489.4156,346.52
90361,736,Consumer,Not Specified,Furniture,Chairs & Chairmats,New Hampshire,East,Salem,2015-06-15,350.98,6,797.856,2016.32
91228,2776,Consumer,Critical,Furniture,Chairs & Chairmats,Maryland,East,Gaithersburg,2015-01-12,350.98,11,2692.4421,3902.09
85867,1739,Corporate,High,Furniture,Tables,North Carolina,South,Goldsboro,2015-05-03,349.45,17,-90.748,5835.41
86432,3119,Corporate,Critical,Furniture,Tables,Florida,South,Orlando,2015-06-30,349.45,11,513.084,3772.19
88825,3257,Consumer,Not Specified,Furniture,Tables,Washington,West,Longview,2015-05-26,349.45,15,3739.3929,5419.41
89787,1178,Consumer,High,Furniture,Tables,Florida,South,Altamonte Springs,2015-04-09,349.45,7,-369.11,2307.26
91195,868,Corporate,Critical,Furniture,Tables,Minnesota,Central,Shoreview,2015-03-06,349.45,12,-2946.051,3918.98
48836,2491,Home Office,Critical,Furniture,Tables,California,West,Los Angeles,2015-02-14,348.21,8,-93.85,2651.21
86884,2490,Home Office,Critical,Furniture,Tables,California,West,Costa Mesa,2015-02-14,348.21,2,-93.85,662.8
87486,1552,Small Business,Critical,Furniture,Tables,Mississippi,South,Clinton,2015-01-01,348.21,2,-337.092,723.54
88701,2713,Corporate,Critical,Furniture,Tables,Michigan,Central,Kalamazoo,2015-06-21,348.21,2,-178.8696,736.16
27456,1104,Home Office,Not Specified,Office Supplies,Appliances,New York,East,New York City,2015-04-10,328.14,29,772.04,9492.92
87347,366,Small Business,Medium,Office Supplies,Appliances,Rhode Island,East,Cranston,2015-01-17,328.14,6,411.5172,1967.98
90977,1103,Home Office,Not Specified,Office Supplies,Appliances,Nebraska,Central,Omaha,2015-04-10,328.14,7,772.04,2291.39
89716,3149,Corporate,Medium,Furniture,Chairs & Chairmats,Idaho,West,Rexburg,2015-01-14,320.98,6,971.622,1952.43
90891,2117,Home Office,High,Furniture,Chairs & Chairmats,Texas,Central,Greenville,2015-04-20,320.98,20,4554.4347,6600.63
90630,1891,Home Office,Not Specified,Furniture,Tables,Ohio,East,Lima,2015-04-05,320.64,7,429.754356,2233.46
88838,3380,Home Office,Critical,Office Supplies,Binders and Binder Accessories,Georgia,South,La Grange,2015-04-20,315.98,18,-4.48,5572.18
90160,3120,Home Office,Not Specified,Office Supplies,Binders and Binder Accessories,Louisiana,South,New Orleans,2015-06-14,315.98,9,44.52,2642.48
86795,3137,Corporate,Not Specified,Office Supplies,Binders and Binder Accessories,New Hampshire,East,Laconia,2015-06-08,304.99,8,1623.9495,2353.55
89874,2874,Home Office,Critical,Office Supplies,Binders and Binder Accessories,Nebraska,Central,La Vista,2015-06-22,304.99,19,4033.6089,5845.81
42599,102,Consumer,Medium,Furniture,Bookcases,Massachusetts,East,Boston,2015-04-06,300.98,31,2023.75,9459.94
86077,1237,Corporate,Medium,Technology,Office Machines,Texas,Central,Carrollton,2015-05-25,300.98,20,3985.3089,5775.81
86828,1433,Corporate,High,Furniture,Chairs & Chairmats,Indiana,Central,Jeffersonville,2015-05-19,300.98,14,1399.64,4285.56
88204,107,Consumer,Medium,Furniture,Bookcases,New Hampshire,East,Dover,2015-04-06,300.98,8,1684.4763,2441.27
90621,1718,Consumer,Low,Furniture,Chairs & Chairmats,North Carolina,South,Garner,2015-03-08,300.98,3,-48.874,974.14
90832,1112,Corporate,Not Specified,Furniture,Bookcases,California,West,Yucaipa,2015-04-02,300.98,12,1272.5808,3527.82
91261,1894,Home Office,Critical,Furniture,Chairs & Chairmats,Wisconsin,Central,Appleton,2015-02-24,300.98,12,2653.2915,3845.35
41253,3079,Small Business,Medium,Technology,Computer Peripherals,Pennsylvania,East,Philadelphia,2015-05-07,300.97,7,-807.59,2037.69
87147,2063,Corporate,Low,Technology,Computer Peripherals,Virginia,South,Newport News,2015-05-08,300.97,1,-729.988,291.4
87889,2097,Home Office,Medium,Technology,Computer Peripherals,South Carolina,South,Hilton Head Island,2015-04-18,300.97,4,138.018,1094.33
88239,3077,Small Business,Medium,Technology,Computer Peripherals,Ohio,East,Strongsville,2015-05-07,300.97,2,-807.59,582.2
90201,983,Corporate,Low,Technology,Computer Peripherals,Arkansas,South,Searcy,2015-04-27,300.97,10,17.772,2848.38
7623,3011,Corporate,Critical,Office Supplies,Appliances,Massachusetts,East,Boston,2015-04-28,300.65,32,1282.496,9705.46
86346,3012,Corporate,Critical,Office Supplies,Appliances,New York,East,Rochester,2015-04-28,300.65,8,1474.8704,2426.36
88667,771,Small Business,Critical,Technology,Copiers and Fax,Oregon,West,West Linn,2015-03-19,299.99,5,285.95,1619.95
88060,466,Small Business,Not Specified,Technology,Office Machines,Massachusetts,East,Bellingham,2015-01-11,297.64,5,496.7968,1132.84
89503,2346,Corporate,Low,Technology,Office Machines,Kentucky,South,Pleasure Ridge Park,2015-01-10,297.64,12,-48.972,3707.05
87383,2604,Corporate,Critical,Technology,Office Machines,New Jersey,East,Iselin,2015-04-05,297.48,3,-338.180832,945.36
90386,2157,Home Office,High,Technology,Office Machines,Michigan,Central,Warren,2015-05-03,297.48,14,709.852,4075.18
86053,2204,Consumer,Critical,Furniture,Tables,Minnesota,Central,Burnsville,2015-02-10,296.18,20,-87.99804,5768.12
87365,83,Corporate,High,Furniture,Tables,Ohio,East,Canton,2015-03-15,296.18,6,-715.778206,1821.89
88474,670,Home Office,Low,Furniture,Tables,Virginia,South,Montclair,2015-03-05,296.18,5,-187.222,1429.81
89726,329,Home Office,Medium,Furniture,Tables,Maine,East,Sanford,2015-04-14,296.18,5,-715.778206,1170.21
90386,2157,Home Office,High,Furniture,Tables,Michigan,Central,Warren,2015-05-03,296.18,6,80.8092,1798.23
90597,87,Corporate,High,Furniture,Tables,California,West,Vacaville,2015-03-22,296.18,9,173.48,2875.72
37537,68,Corporate,Low,Furniture,Chairs & Chairmats,New York,East,New York City,2015-01-02,291.73,4,-308.928,1239.06
87148,2062,Corporate,Low,Furniture,Chairs & Chairmats,Virginia,South,Mechanicsville,2015-06-26,291.73,22,-115.9039,6676.61
88557,2073,Consumer,Not Specified,Furniture,Chairs & Chairmats,Michigan,Central,Garden City,2015-04-07,291.73,6,550.3808,1818.41
86723,1672,Small Business,Low,Furniture,Chairs & Chairmats,Virginia,South,Charlottesville,2015-06-07,284.98,3,15.528,926.3
87259,972,Corporate,Low,Furniture,Chairs & Chairmats,California,West,Riverside,2015-02-28,284.98,2,-116.584,619.38
32420,699,Consumer,Medium,Furniture,Chairs & Chairmats,California,West,Los Angeles,2015-01-29,280.98,23,-439.62,6499.87
86268,254,Home Office,Medium,Furniture,Tables,Colorado,West,Highlands Ranch,2015-06-10,280.98,5,-53.745,1332.82
86491,3167,Corporate,Not Specified,Furniture,Chairs & Chairmats,Florida,South,Ponte Vedra Beach,2015-06-19,280.98,14,-283.9914,3936.61
86793,3139,Home Office,Critical,Furniture,Chairs & Chairmats,New Jersey,East,Cranford,2015-05-02,280.98,31,252.488,7974.21
88879,568,Consumer,Critical,Furniture,Chairs & Chairmats,Mississippi,South,Columbus,2015-03-04,280.98,4,1141.794,1128.74
90236,234,Small Business,Critical,Office Supplies,Appliances,Iowa,Central,Newton,2015-02-05,279.81,6,1103.9724,1599.96
27013,1314,Home Office,Low,Office Supplies,Storage & Organization,California,West,Los Angeles,2015-01-05,279.48,31,-274.95,8354.73
87603,1316,Home Office,Low,Office Supplies,Storage & Organization,Colorado,West,Commerce City,2015-01-05,279.48,8,-274.95,2156.06
88503,688,Small Business,Critical,Office Supplies,Storage & Organization,Missouri,Central,Saint Louis,2015-05-16,279.48,10,-207.28,2716.09
87277,335,Corporate,Critical,Furniture,Chairs & Chairmats,Oregon,West,Medford,2015-05-04,276.2,14,2639.4708,3825.32
88838,3380,Home Office,Critical,Furniture,Chairs & Chairmats,Georgia,South,La Grange,2015-04-20,276.2,11,3193.284,2941.42
89789,3048,Corporate,High,Furniture,Chairs & Chairmats,California,West,Berkeley,2015-03-05,276.2,10,1167.38,2610.56
47493,2303,Corporate,Critical,Furniture,Chairs & Chairmats,New York,East,New York City,2015-02-11,270.98,36,-96.05,9757.48
87695,2302,Corporate,Critical,Furniture,Chairs & Chairmats,Florida,South,Panama City,2015-02-11,270.98,9,27.726,2439.37
87940,1136,Consumer,High,Technology,Office Machines,Illinois,Central,Carol Stream,2015-01-02,270.97,15,2660.1432,3855.28
86221,3096,Consumer,High,Furniture,Tables,Ohio,East,Hilliard,2015-05-24,262.11,9,-633.441237,2495.35
88556,2072,Corporate,High,Furniture,Bookcases,Michigan,Central,Flint,2015-02-11,260.98,14,1307.2692,3377.06
89257,824,Small Business,Low,Furniture,Bookcases,Tennessee,South,Spring Hill,2015-01-12,260.98,8,-100.744,2044.9
88579,1927,Home Office,High,Furniture,Tables,South Carolina,South,Greenville,2015-02-06,259.71,8,-14.448,1757.15
89571,2268,Small Business,Low,Furniture,Tables,Florida,South,Land O Lakes,2015-06-03,259.71,17,138.222,4086.5
90479,241,Small Business,Medium,Furniture,Tables,Colorado,West,Grand Junction,2015-04-20,259.71,11,785.63,2809.87
46853,1246,Home Office,Low,Technology,Computer Peripherals,New York,East,New York City,2015-05-22,256.99,32,1489.8,8216.28
90314,2216,Corporate,Low,Technology,Computer Peripherals,Ohio,East,Medina,2015-06-23,256.99,3,-214.104,808.44
88627,2880,Small Business,Low,Furniture,Chairs & Chairmats,Florida,South,North Miami Beach,2015-05-08,243.98,25,1059.288,5587.89
90404,2151,Corporate,Not Specified,Furniture,Chairs & Chairmats,Iowa,Central,Dubuque,2015-01-05,243.98,1,-162.8244,248.84
87146,2061,Corporate,Medium,Furniture,Bookcases,Nebraska,Central,North Platte,2015-01-29,240.98,1,-272.7132,260.66
29319,1282,Small Business,Low,Furniture,Chairs & Chairmats,Pennsylvania,East,Philadelphia,2015-01-24,238.4,30,460.676,6654.39
89112,1281,Small Business,Low,Furniture,Chairs & Chairmats,Indiana,Central,Vincennes,2015-01-24,238.4,8,875.2844,1774.5
56452,640,Consumer,Not Specified,Furniture,Tables,Washington,West,Seattle,2015-02-14,236.97,34,1192.04,6686.34
87952,639,Consumer,Not Specified,Furniture,Tables,California,West,Santa Maria,2015-02-14,236.97,9,1192.04,1769.91
87813,693,Small Business,High,Furniture,Tables,Colorado,West,Thornton,2015-05-05,230.98,36,6095.8602,8834.58
88114,2729,Consumer,Low,Furniture,Tables,Washington,West,Bellingham,2015-03-06,230.98,4,501.69,924.8
88713,2464,Consumer,High,Furniture,Tables,Louisiana,South,Bossier City,2015-05-11,227.55,16,-570.1696,2849.64
87424,1559,Consumer,Critical,Furniture,Chairs & Chairmats,Virginia,South,Blacksburg,2015-04-15,226.67,5,-390.768,1088.26
88405,2114,Corporate,Critical,Furniture,Chairs & Chairmats,Virginia,South,Norfolk,2015-02-26,226.67,1,53.1144,255.83
86751,2419,Consumer,Not Specified,Office Supplies,Appliances,Virginia,South,Portsmouth,2015-03-26,225.04,5,-162.918,1130.15
91236,1485,Home Office,Not Specified,Office Supplies,Storage & Organization,Illinois,Central,Downers Grove,2015-02-20,225.02,21,1428.9104,4636.63
86725,1671,Small Business,Critical,Office Supplies,Binders and Binder Accessories,Virginia,South,Burke,2015-05-12,223.98,21,0.696,4881.84
23751,2747,Corporate,Medium,Furniture,Bookcases,New York,East,New York City,2015-03-18,220.98,44,1049.03,10364.36
86184,2745,Corporate,Medium,Furniture,Bookcases,Arizona,West,Chandler,2015-03-18,220.98,11,1049.03,2591.09
16547,2498,Corporate,Not Specified,Furniture,Tables,California,West,San Diego,2015-02-18,218.75,8,-533.232,1749.64
89505,2346,Corporate,High,Furniture,Tables,Kentucky,South,Pleasure Ridge Park,2015-05-20,218.75,17,62.298,2805.18
90185,911,Corporate,Not Specified,Furniture,Tables,West Virginia,East,Wheeling,2015-01-31,218.75,10,-655.529875,2285.41
90437,754,Corporate,High,Furniture,Tables,Arizona,West,Prescott Valley,2015-06-04,218.75,4,-453.2,905.4
90909,550,Corporate,High,Furniture,Tables,Texas,Central,Seguin,2015-01-30,218.75,1,-201.276,188.51
86735,1450,Consumer,Medium,Furniture,Chairs & Chairmats,California,West,South Lake Tahoe,2015-05-24,218.08,12,1318.83,2366.51
87934,3206,Consumer,Not Specified,Furniture,Chairs & Chairmats,Idaho,West,Twin Falls,2015-05-21,218.08,7,969.42,1488.51
89872,2873,Small Business,Medium,Furniture,Tables,Florida,South,Hialeah,2015-01-22,217.85,10,394.17,2273.1
90430,193,Corporate,Not Specified,Technology,Office Machines,Utah,West,Layton,2015-01-03,213.45,1,-560.81418,224.12
90600,1625,Home Office,Medium,Technology,Office Machines,New York,East,Glen Cove,2015-03-27,213.45,12,1674.7542,2427.18
40997,2548,Small Business,Low,Furniture,Tables,California,West,Los Angeles,2015-04-21,212.6,33,-513.79042,7384.18
88296,2579,Home Office,High,Furniture,Tables,Alabama,South,Phenix City,2015-01-03,212.6,1,-274.498,174.5
88657,2549,Small Business,Low,Furniture,Tables,Ohio,East,Whitehall,2015-04-21,212.6,8,-513.79042,1790.1
89981,1253,Home Office,Low,Furniture,Tables,Texas,Central,Cedar Park,2015-04-23,212.6,12,-3465.072,2346.03
28001,1044,Home Office,Critical,Furniture,Office Furnishings,California,West,Los Angeles,2015-06-14,209.84,62,2593.14,13546.94
85914,2630,Small Business,Critical,Furniture,Office Furnishings,Oklahoma,Central,Norman,2015-01-05,209.84,10,1507.6431,2184.99
90011,2892,Consumer,High,Furniture,Tables,Michigan,Central,Livonia,2015-02-23,209.37,11,-165.5949204,2125.12
90601,1625,Home Office,Medium,Furniture,Tables,New York,East,Glen Cove,2015-02-16,209.37,11,-263.1119291,1959.88
86507,3225,Small Business,Not Specified,Office Supplies,Appliances,Tennessee,South,Germantown,2015-01-14,208.16,4,-137.522,768.81
86220,3095,Consumer,Critical,Office Supplies,Appliances,Ohio,East,Hamilton,2015-01-19,207.48,5,683.9556,991.24
86611,2264,Corporate,Not Specified,Office Supplies,Appliances,Missouri,Central,Joplin,2015-01-26,207.48,3,359.83,577.75
85948,2281,Home Office,Not Specified,Technology,Telephones and Communication,Wisconsin,Central,Eau Claire,2015-01-27,205.99,10,997.38144,1610.84
86077,1237,Corporate,Medium,Technology,Telephones and Communication,Texas,Central,Carrollton,2015-05-25,205.99,11,13.9568,1878.24
86258,2206,Consumer,High,Technology,Telephones and Communication,Iowa,Central,Fort Dodge,2015-01-05,205.99,3,-74.8836,551.22
86520,120,Corporate,High,Technology,Telephones and Communication,Utah,West,Layton,2015-01-12,205.99,10,1179.0237,1708.73
87160,2778,Consumer,High,Technology,Telephones and Communication,North Carolina,South,Wilmington,2015-02-11,205.99,12,111.0525,2118.99
87160,2778,Consumer,High,Technology,Telephones and Communication,North Carolina,South,Wilmington,2015-02-11,205.99,5,-1963.752,837.64
87812,693,Small Business,Low,Technology,Telephones and Communication,Colorado,West,Thornton,2015-03-08,205.99,11,890.181,1882.87
